Município,Faixa da renda total da família / Até 1 S.M.,Faixa da renda total da família / Entre 1 e 2 S.M.,Faixa da renda total da família / Entre 2 e 3 S.M.,Faixa da renda total da família / Acima de 3 S.M.,Faixa da renda familiar per capita / Pobreza 1 (até R$ 109),Faixa da renda familiar per capita / Pobreza 2 (de R$ 109 a R$ 218),Faixa da renda familiar per capita / Baixa Renda,Faixa da renda familiar per capita / Acima de 1/2 S.M.,Recebe PBF família / Não,Recebe PBF família / Sim,Calçamento em frente ao seu domicílio / Total,Calçamento em frente ao seu domicílio / Parcial,Calçamento em frente ao seu domicílio / Não existe,Situação do domicílio / Urbanas,Situação do domicílio / Rurais,Espécie do domicílio / Particular Permanente,Espécie do domicílio / Particular improvisado,Espécie do domicílio / Coletivo,Existência de banheiro / Sim,Existência de banheiro / Não,Forma de abastecimento de água / Rede geral de distribuição,Forma de abastecimento de água / Poço ou nascente,Forma de abastecimento de água / Cisterna,Forma de abastecimento de água / Outra forma,Forma de coleta do lixo / É coletado diretamente,Forma de coleta do lixo / É coletado indiretamente,Forma de coleta do lixo / É queimado ou enterrado na propriedade,"Forma de coleta do lixo / É jogado em terreno baldio ou logradouro (rua, avenida, etc.)",Forma de coleta do lixo / É jogado em rio ou mar,Forma de coleta do lixo / Tem outro destino,Forma de escoamento sanitário / Rede coletora de esgoto ou pluvial,Forma de escoamento sanitário / Fossa séptica,Forma de escoamento sanitário / Fossa rudimentar,Forma de escoamento sanitário / Vala a céu aberto,"Forma de escoamento sanitário / Direto para um rio, lago ou mar",Forma de escoamento sanitário / Outra forma,Material predominante nas paredes externas do domicílio / Alvenaria/tijolo com revestimento,Material predominante nas paredes externas do domicílio / Alvenaria/tijolo sem revestimento,Material predominante nas paredes externas do domicílio / Madeira aparelhada,Material predominante nas paredes externas do domicílio / Taipa revestida,Material predominante nas paredes externas do domicílio / Taipa não revestida,Material predominante nas paredes externas do domicílio / Madeira aproveitada,Material predominante nas paredes externas do domicílio / Palha,Material predominante nas paredes externas do domicílio / Outro Material,Material predominante no piso do domicílio / Terra,Material predominante no piso do domicílio / Cimento,Material predominante no piso do domicílio / Madeira aproveitada,Material predominante no piso do domicílio / Madeira aparelhada,"Material predominante no piso do domicílio / Cerâmica, lajota ou pedra",Material predominante no piso do domicílio / Carpete,Material predominante no piso do domicílio / Outro Material,Água canalizada no domicílio / Sim,Água canalizada no domicílio / Não,Tipo de iluminação / Elétrica com medidor próprio,Tipo de iluminação / Elétrica com medidor comunitário,Tipo de iluminação / Elétrica sem medidor,"Tipo de iluminação / Óleo, querosene ou gás",Tipo de iluminação / Vela,Tipo de iluminação / Outra forma,Recebe PBF família / Não,Recebe PBF família / Sim,Pessoa com marcação de trabalho infantil / Sim,Pessoa com marcação de trabalho infantil / Não,Não recebe ajuda de terceiros / Opção não marcada no formulário,Não recebe ajuda de terceiros / Opção marcada no formulário,Curso mais elevado que a pessoa frequentou / Creche,Curso mais elevado que a pessoa frequentou / Pré-escola (exceto CA),Curso mais elevado que a pessoa frequentou / Classe de Alfabetização - CA,"Curso mais elevado que a pessoa frequentou / Ensino Fundamental 1ª a 4ª séries, Elementar (Primário), Primeira fase do 1º grau","Curso mais elevado que a pessoa frequentou / Ensino Fundamental 5ª a 8ª séries, Médio 1º ciclo (Ginasial), Segunda fase do 1º grau",Curso mais elevado que a pessoa frequentou / Ensino Fundamental (duração 9 anos),Curso mais elevado que a pessoa frequentou / Ensino Fundamental Especial,"Curso mais elevado que a pessoa frequentou / Ensino Médio, 2º grau, Médio 2º ciclo (Científico, Clássico, Técnico, Normal)",Curso mais elevado que a pessoa frequentou / Ensino Médio Especial,Curso mais elevado que a pessoa frequentou / Ensino Fundamental EJA -séries iniciais (Supletivo 1ª a 4ª),Curso mais elevado que a pessoa frequentou / Ensino Fundamental EJA -séries finais (Supletivo 5ª a 8ª),Curso mais elevado que a pessoa frequentou / Ensino Médio EJA(Supletivo),"Curso mais elevado que a pessoa frequentou / Superior, Aperfeiçoamento,Especialização, Mestrado,Doutorado","Curso mais elevado que a pessoa frequentou / Alfabetização para Adultos(Mobral, etc.)",Curso mais elevado que a pessoa frequentou / Nenhum,Grau de instrução / Sem instrução,Grau de instrução / Fundamental incompleto,Grau de instrução / Fundamental completo,Grau de instrução / Médio incompleto,Grau de instrução / Médio completo,Grau de instrução / Superior incompleto ou mais,"Pessoa frequenta escola / Sim, rede pública","Pessoa frequenta escola / Sim, rede particular","Pessoa frequenta escola / Não, já frequentou",Pessoa frequenta escola / Nunca frequentou,Pessoa sabe ler e escrever / Sim,Pessoa sabe ler e escrever / Não,Último ano e série do curso que a pessoa frequentou / Primeiro(a),Último ano e série do curso que a pessoa frequentou / Segundo(a),Último ano e série do curso que a pessoa frequentou / Terceiro(a),Último ano e série do curso que a pessoa frequentou / Quarto(a),Último ano e série do curso que a pessoa frequentou / Quinto(a),Último ano e série do curso que a pessoa frequentou / Sexto(a),Último ano e série do curso que a pessoa frequentou / Sétimo(a),Último ano e série do curso que a pessoa frequentou / Oitavo(a),Último ano e série do curso que a pessoa frequentou / Nono(a),Último ano e série do curso que a pessoa frequentou / Curso não-seriado,"Função principal / Trabalhador por conta própria (bico, autônomo)",Função principal / Trabalhador temporário em área rural,Função principal / Empregado sem carteira de trabalho assinada,Função principal / Empregado com carteira de trabalho assinada,Função principal / Trabalhador doméstico sem carteira de trabalho assinada,Função principal / Trab. doméstico com cart. de trab. assinada,Função principal / Trabalhador não-remunerado,Função principal / Militar ou servidor público,Função principal / Empregador,Função principal / Estagiário,Função principal / Aprendiz,Trabalho remunerado nos últimos 12 meses / Sim,Trabalho remunerado nos últimos 12 meses / Não,Situação de Rua / Não,Situação de Rua / Sim
Abaiara,79.44,14.15,3.81,2.59,59.06,5.40,16.67,18.87,32.37,67.63,46.31,2.52,51.16,40.75,59.25,99.99,0.01,0.00,95.54,4.45,36.40,50.31,7.37,5.91,47.79,1.04,50.99,0.17,0.00,0.00,0.36,0.12,94.32,0.24,0.00,0.51,86.72,11.55,0.00,0.81,0.91,0.00,0.00,0.00,0.91,61.19,0.00,0.04,37.84,0.00,0.01,83.85,16.14,96.29,0.38,2.97,0.17,0.08,0.09,32.37,67.63,0.01,99.99,0.00,2.55,0.00,0.04,0.77,13.81,7.96,3.97,0.06,30.02,0.01,0.08,0.15,0.63,3.45,1.42,0.02,21.92,26.52,6.47,7.88,25.32,3.54,25.01,1.65,62.38,10.97,73.27,26.73,5.68,5.86,28.17,5.31,2.76,1.27,1.76,3.85,1.39,0.02,5.05,28.73,2.01,7.08,0.33,0.01,0.00,1.26,0.00,0.00,0.00,35.63,38.99,100.00,0.00
Acarape,77.88,14.49,5.15,2.47,56.87,6.15,23.22,13.76,31.65,68.35,28.16,28.15,43.68,74.38,25.60,99.98,0.00,0.00,92.43,7.55,77.56,3.02,5.31,14.09,87.08,0.92,10.91,0.87,0.06,0.15,30.08,44.84,15.80,0.52,0.03,1.16,75.97,18.46,0.04,2.92,2.46,0.00,0.00,0.13,4.66,65.20,0.12,0.16,29.16,0.06,0.62,80.25,19.74,87.09,0.84,3.91,0.04,0.09,8.01,31.65,68.35,0.02,99.98,0.00,3.29,0.00,0.06,0.22,9.47,12.35,4.42,0.43,22.69,0.28,0.14,0.21,0.20,1.45,0.37,0.03,26.56,25.69,8.78,8.69,16.56,5.28,33.17,1.81,52.33,12.70,68.14,31.86,4.92,5.00,18.84,4.72,4.13,2.23,2.67,5.51,1.55,0.14,5.46,4.46,1.68,5.48,0.12,0.03,0.02,2.96,0.01,0.01,0.00,18.85,52.43,99.98,0.02
Acaraú,86.64,10.62,2.14,0.60,69.55,6.77,15.50,8.18,18.86,81.14,36.23,13.12,49.99,42.71,57.29,99.34,0.58,0.08,92.12,7.22,63.55,31.37,0.85,3.58,60.13,5.40,33.27,0.49,0.00,0.05,6.72,5.77,77.36,0.78,0.03,1.47,64.65,32.88,0.03,1.02,0.63,0.01,0.05,0.09,1.86,78.73,0.06,0.04,18.34,0.01,0.32,76.31,23.04,88.11,3.39,3.23,0.21,0.85,3.55,18.86,81.14,0.00,100.00,0.00,0.84,0.03,0.22,1.18,13.44,10.47,7.30,0.05,22.59,0.14,0.27,0.55,0.16,0.47,0.04,0.03,24.85,33.17,7.39,8.21,17.18,0.50,28.41,1.26,56.93,13.40,70.62,29.38,6.29,6.10,21.05,4.91,4.08,2.60,2.82,4.39,1.66,0.16,19.62,5.87,0.72,2.59,0.37,0.01,0.07,0.84,0.00,0.00,0.00,31.90,38.93,100.00,0.00
Acopiara,85.75,11.82,1.75,0.68,65.21,3.97,15.61,15.21,27.59,72.41,26.45,21.19,52.32,41.84,58.13,99.95,0.01,0.01,88.30,11.65,65.79,14.08,11.91,8.17,54.52,2.20,42.37,0.72,0.05,0.09,21.42,24.30,40.65,1.36,0.02,0.71,86.03,11.72,0.01,1.01,1.16,0.00,0.00,0.02,4.17,79.07,0.17,0.22,15.19,0.40,0.73,74.57,25.38,98.71,0.49,0.31,0.12,0.06,0.25,27.59,72.41,0.00,100.00,0.00,1.59,0.02,0.12,1.27,15.14,11.91,4.85,0.30,21.20,0.08,0.04,0.08,0.06,1.29,0.02,0.02,29.88,29.86,8.36,7.21,16.56,1.35,23.55,1.01,56.43,19.01,66.37,33.62,4.97,5.14,20.05,7.32,4.28,2.41,2.08,5.56,1.72,0.08,11.60,16.11,0.37,2.69,0.18,0.01,0.82,1.24,0.01,0.03,0.01,33.02,43.12,99.97,0.03
Aiuaba,87.30,10.22,1.75,0.72,67.78,2.35,14.89,14.98,28.25,71.75,43.69,1.29,55.02,43.60,56.40,100.00,0.00,0.00,80.09,19.91,62.17,7.25,27.05,3.53,57.15,0.17,38.88,3.77,0.00,0.03,0.84,0.06,73.49,2.36,0.05,3.29,79.32,19.56,0.00,0.37,0.72,0.00,0.00,0.02,5.61,77.73,0.01,0.00,16.62,0.00,0.03,67.50,32.50,99.11,0.18,0.12,0.27,0.12,0.19,28.25,71.75,0.00,100.00,0.00,2.35,0.01,0.16,1.95,15.30,10.84,4.45,0.02,22.76,0.01,0.02,0.03,0.09,2.36,0.23,0.00,26.27,30.82,7.55,7.46,17.82,2.46,25.27,0.32,58.23,16.17,70.47,29.52,5.57,5.20,21.24,6.76,4.09,2.12,2.20,4.28,2.18,0.00,1.64,1.12,1.21,2.11,0.04,0.02,29.62,1.04,0.02,0.00,0.00,7.39,67.81,100.00,0.00
Alcântaras,55.59,26.07,12.43,5.90,30.03,12.62,30.18,27.18,51.24,48.76,37.58,13.57,48.78,29.53,70.46,99.93,0.06,0.00,92.02,7.91,39.19,41.80,15.92,3.03,25.89,49.86,20.01,4.14,0.02,0.01,17.14,0.36,71.43,0.77,0.00,2.31,63.79,9.76,0.00,0.35,0.24,0.00,0.00,25.79,1.21,48.28,0.02,0.05,49.86,0.00,0.51,57.52,42.41,92.53,0.40,4.60,0.12,0.39,1.89,51.24,48.76,0.00,100.00,0.00,2.81,0.00,0.01,2.91,17.83,13.09,2.97,0.08,20.82,0.15,0.15,0.18,0.21,2.73,1.95,0.01,26.94,31.61,6.99,7.30,16.24,4.55,27.56,0.84,63.09,8.50,69.26,30.74,6.40,5.76,20.63,6.55,5.37,2.83,2.55,3.58,1.66,0.01,13.52,4.91,1.43,11.08,0.00,0.00,0.12,0.00,0.00,0.03,0.00,30.89,45.52,99.99,0.01
Altaneira,76.97,13.80,4.98,4.25,59.00,2.78,15.26,22.97,35.29,64.71,68.52,5.48,25.99,67.00,33.00,100.00,0.00,0.00,97.47,2.53,89.32,6.02,1.61,3.05,82.04,4.65,12.74,0.50,0.03,0.04,12.95,4.15,80.01,0.10,0.00,0.26,92.20,6.59,0.00,0.79,0.42,0.00,0.00,0.00,1.04,63.18,0.00,0.06,35.42,0.00,0.30,92.75,7.25,98.03,0.60,0.59,0.06,0.04,0.68,35.29,64.71,0.00,100.00,0.00,2.16,0.00,0.12,1.28,14.97,11.23,3.47,0.12,22.87,0.16,0.20,0.59,0.37,3.48,0.69,0.06,23.23,30.15,7.47,7.93,18.51,4.55,29.19,0.50,59.60,10.71,71.79,28.21,6.25,4.98,21.47,6.20,4.43,2.27,2.06,4.32,1.08,0.00,0.86,0.07,0.60,8.52,0.00,0.04,25.62,0.95,0.03,0.00,0.00,11.28,63.18,100.00,0.00
Alto Santo,73.10,19.10,5.73,2.07,46.40,12.34,17.68,23.59,39.94,60.06,37.24,5.53,57.22,48.37,51.63,100.00,0.00,0.00,96.77,3.23,78.27,3.21,10.42,8.11,63.23,0.30,35.93,0.37,0.00,0.18,7.42,0.90,86.21,0.92,0.03,1.29,86.49,11.81,0.00,0.36,1.25,0.03,0.00,0.07,1.09,80.65,0.03,0.00,15.99,0.05,2.20,82.91,17.09,98.92,0.37,0.30,0.03,0.01,0.37,39.94,60.06,0.00,100.00,0.00,4.42,0.00,0.04,1.97,13.26,10.15,4.94,0.20,23.18,0.49,0.03,0.15,0.09,3.19,0.00,0.01,25.84,29.98,7.60,7.75,18.11,3.20,26.10,0.50,57.71,15.69,71.34,28.66,5.07,5.12,21.39,6.42,3.96,2.16,2.20,4.44,1.64,0.03,15.25,10.22,0.79,4.65,0.08,0.01,0.03,3.46,0.03,0.00,0.00,34.54,40.41,100.00,0.00
Amontada,83.67,12.96,2.64,0.72,65.09,7.45,17.36,10.09,21.80,78.20,7.48,26.90,65.59,27.06,72.93,99.97,0.02,0.00,92.53,7.44,34.13,53.99,9.92,1.93,25.62,14.27,59.34,0.65,0.00,0.09,0.41,1.05,88.84,0.53,0.00,1.69,65.18,26.13,0.01,4.20,4.34,0.02,0.08,0.01,3.09,78.46,0.06,0.05,18.05,0.06,0.19,49.71,50.26,87.84,0.50,9.91,0.41,0.72,0.59,21.80,78.20,0.00,100.00,0.00,1.28,0.01,0.05,1.49,13.50,12.06,2.28,0.08,25.24,0.07,0.07,0.15,0.06,1.13,0.02,0.01,23.10,30.08,8.41,8.02,19.98,1.12,30.51,0.46,56.23,12.80,70.29,29.71,4.82,5.24,23.16,5.87,3.58,1.90,2.07,5.30,1.36,0.00,11.40,10.05,0.27,3.58,0.12,0.04,3.02,1.20,0.00,0.00,0.00,26.91,42.04,99.99,0.01
Antonina do Norte,88.42,9.95,1.17,0.46,72.86,0.70,7.90,18.54,26.18,73.82,62.22,3.74,34.04,70.54,29.46,100.00,0.00,0.00,95.87,4.13,80.63,1.05,16.25,2.07,3.99,68.01,27.71,0.28,0.00,0.00,28.59,25.76,41.29,0.09,0.00,0.15,91.36,6.58,0.00,1.43,0.62,0.00,0.00,0.00,1.01,76.44,0.07,0.00,22.39,0.07,0.01,80.69,19.31,98.05,0.61,0.43,0.25,0.03,0.64,26.18,73.82,0.00,100.00,0.00,3.45,0.00,0.10,5.56,16.43,8.65,4.45,0.03,23.23,0.01,0.03,0.03,0.01,0.70,0.09,0.01,24.89,32.17,9.05,4.67,21.15,0.68,25.70,1.20,59.35,13.75,75.05,24.95,3.00,2.40,23.20,11.43,2.74,1.57,1.46,4.45,2.77,0.07,2.72,23.53,0.34,2.74,0.01,0.03,0.03,2.23,0.00,0.00,0.01,31.90,43.46,100.00,0.00
