Município,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50,pc_51,pc_52,pc_53,pc_54,pc_55,pc_56,pc_57,pc_58,pc_59,pc_60,pc_61,pc_62,pc_63,pc_64,pc_65,pc_66,pc_67,pc_68,pc_69,pc_70,pc_71,pc_72,pc_73,pc_74,pc_75,pc_76,pc_77,pc_78,pc_79,pc_80,pc_81,pc_82,pc_83,pc_84,pc_85,pc_86,pc_87,pc_88,pc_89,pc_90,pc_91,pc_92,pc_93,pc_94,pc_95,pc_96,pc_97,pc_98,pc_99,pc_100,pc_101,pc_102,pc_103,pc_104,pc_105,pc_106,pc_107,pc_108,pc_109,pc_110,pc_111,pc_112,pc_113,pc_114,pc_115,pc_116,pc_117
abaiara,0.9090371898969966,1.4115311746428858,-2.009079963647539,1.27372325005817,-4.484937199301653,0.9286486759592063,2.5761576248673195,-0.23101828454495804,-0.6376241597654542,-2.3440749399885523,1.8288714567029163,2.5241956888128616,-0.45551728670541797,-0.17931218598972581,-0.5634137057798725,2.679475008610155,0.4175021334063948,-0.294738213500872,-0.9338253570413819,0.30571879369452504,-0.6847450006247461,0.8649859291549591,-1.4432216028312046,-0.1881489750911485,-1.0244875906156736,-1.5275498035510955,-1.2178334687326653,-0.7163849681903062,-0.7636412306571482,0.15593716209947794,-0.18682487767994357,-1.3058301215634738,1.615399885370401,-0.21966011255038786,0.4990442097111248,-1.7643763236765517,-0.41334299353680193,-0.9457275526310318,-0.31149346918896204,-0.15886178822037578,1.6969273128497386,0.41710740406106683,0.39079849329920735,0.2752500221075102,-0.21677773448912122,-0.6512232097974407,-0.19467667511269038,1.123313593452688,1.4161444985773495,-1.2912478420268598,0.43883947452823496,-0.5349965280299706,-0.05095303562385553,1.8349058808332959,-0.6099480482031301,-0.0279208733899151,-0.18019601785045827,0.42010718760074633,-0.14667096513961542,0.47870028525363717,-0.303394326811877,0.005257903551237956,-0.11362385353704377,0.07911688784854036,-0.04120138897780633,0.22957178414769594,0.3000619524281334,0.031662601554620654,-0.43854540387389274,-0.26592831513901893,0.20870218163535123,-0.14892744480262896,0.3142877685094464,-0.11289420454587729,-0.36768705454142275,0.27530228986363764,-0.6618521920736662,-0.29965630336335153,0.013105100107392626,0.49130340468392725,0.08909720450144086,0.15776537282115238,0.03497497542451395,-0.06552666234755634,-0.5753894380812424,-0.10314302539936154,0.02106401197882194,-0.003108627917288164,-0.004512754190162524,-0.061910809886705824,0.10091362109471712,0.017509251497478583,-0.01482447315072422,-0.028518799004950728,0.02173922814165261,0.0013155375288227758,0.0006818495189723011,-0.0003326071811465216,-0.0006643636200842322,-0.00039992902229901174,-0.0005088618819702039,0.00034466187522051494,0.00012681501522950083,1.4486314740649052e-05,-0.0001381460811034516,0.0003081237773516745,-0.00024696797680697483,-0.00015067325723447302,-6.036116803822325e-06,-2.5187860081020653e-05,0.00013598471075055177,2.648379520927359e-13,-4.099648678219333e-14,4.67889493378848e-16,-1.651872993792307e-16,-2.1239391872328596e-16,-3.785837997909457e-16
acarape,-0.19961861210906157,-3.821894370385314,4.499562802602448,-0.16267725073589878,0.5291908349152917,0.7064349491163462,-0.7653291955184223,-3.1020026417545496,1.5221485787598674,2.0878332734275826,-3.617068633578146,1.2923015822057429,2.601271668212886,-2.1313358856613576,-0.1618773163436217,0.5179396048698998,3.820059639811897,2.1700868877887154,1.2061945253639441,-1.5605337615348756,0.7512073165610208,-0.01720465399634833,-0.03203440701219983,-0.3535421743334481,1.121924107488721,0.578828386576665,-1.5537245372810053,-0.049419174309362754,-1.1129270453347737,2.821911856333454,0.7662321152078413,0.6567110773565535,-0.5423498468740904,0.22512481254866504,0.4391063891673119,-1.1005192358321638,-2.013145011204286,0.3918356755107726,0.32590377149619093,0.30240341200287335,-0.7887169410892483,-1.071057796170196,-0.739985473881876,2.2754774623707275,-0.14504852373071597,-0.24087647681540741,-1.550863863670224,0.3967168269370787,0.3004408198097705,0.7616974137765293,0.4791435688356703,-1.0102474279819555,-0.3977687124075178,0.5782989844897384,-0.84408528692718,-0.09827633260789254,-0.21738656068653672,-0.8965033791064728,-0.37657725169202616,0.5803112978069966,-0.9302826576428823,-0.04626752922899021,0.05161100137702166,-0.39745619196986826,-0.09288169213551667,-0.18332698784838095,0.8492143789721727,0.3737389223230621,0.5256883328479494,0.44885736713586744,0.8832681835199494,-0.3909741195010311,-0.16975365743119028,0.014421287501742843,-0.14993964335863946,-0.09926472480437692,0.043337918246622975,-0.5468032708028642,-0.17901977959482315,-0.24260417675240514,-0.3362444174751202,-0.1235812512603882,-0.07569781193352976,-0.4739589586054223,-0.044004540408176814,-0.20223490474807948,0.12759158199069004,-0.13604365150112724,0.08838392265387189,0.14664303187133457,-0.009607340377832162,0.07055939956518201,-0.05499472502209861,-0.011811948318205732,0.01687181860715903,-0.0008628376596497458,-0.00021486852625902375,0.00036850426584150427,-7.180424605547245e-06,0.0002770061453269695,-0.0004251021394341735,1.2800303170777399e-05,-0.00033627580412046046,-0.00041015556588707217,-0.00020192334350502416,-0.00010872902667586765,-5.804453646032806e-05,0.00013454295821909476,5.753146781133759e-05,-5.5343827508439046e-05,0.00012080698937406269,-2.3128146920842334e-13,7.337909784187546e-15,2.6828930619697365e-16,1.1604960716234146e-17,3.0063510929894147e-16,-3.395572421221279e-16
acarau,-5.88952033708497,-3.4625524951194437,-0.7963695177969459,0.5799786992215545,2.1978945356346475,-1.1473279317508511,2.3093877120886606,2.0064729868193534,-0.5017120924134439,0.3250988225127114,-0.6157484467694762,0.10498704914458384,-0.8125155803602683,2.5561573154196426,1.6990513597113694,0.5396038114318206,1.061833370355182,0.5810434143564579,-0.8107782779729236,0.7169489606535281,-0.9678416046111958,-0.4162732301994677,-0.31628941929014287,-1.3209346712315082,-0.11819090592289992,0.401969278526238,-1.1315520159078358,-0.23633635915898862,-0.011506188424010761,-0.5695441088145171,0.964771780073762,0.6835964444469825,0.2597699246970269,0.16828619575219655,0.9584851219728713,-0.7239906158957538,-0.8791743731227993,1.644171227183078,0.5112617375620906,-0.6520954784772862,-0.6147234768725455,-1.2993566450571605,0.002976509607266552,-0.382723960361212,-0.5797471690928192,-1.2855523753417115,0.38544306432107517,-0.4240223337096258,0.20845905712307033,0.6871607989454105,0.1369730473295824,0.5804274360336567,-0.050148234870239825,-0.4831089056883522,-0.46541249976024723,-0.14695497652033915,-0.47898331301074143,-0.8208401650101419,0.7395329954487968,0.7245818766636641,0.06823017678601799,-0.10527804479831848,0.09783278871434273,0.5797004245506865,-0.8308146452447667,-0.338151962265011,-0.021875574961828192,0.3801018537425477,-0.16891698126003177,0.4355954058953124,-0.20299570618100143,-0.15124529277779772,-0.5797928849447277,0.2862719929694932,-0.3224996679243945,-0.18917714309950606,0.07594315182695599,0.1746312836870645,0.1816298708696302,-0.21929072971935049,-0.25276293874087064,0.3880242915708866,0.0058046713282516055,0.20575080192378412,0.15373417155722358,-0.33149290670133713,0.15089614627147116,-0.08227103671160507,-0.0072605953724502485,0.19354187994059813,-0.07410638708287758,-0.12412871613486084,0.0049909182664729925,-0.004786906593693962,-0.016040527772319832,0.002144249735544663,-0.00015144944136447834,0.0010405711316423514,0.0003376986976132097,0.0017452913798079752,-0.000562993384243234,0.00046586515847045896,-0.00047057081703013454,0.00015713865176287324,0.0003408281282350721,0.00011219946669212124,0.00020898887405446253,0.00015610733391518272,0.0001569908825230405,-7.95704406612578e-05,4.712738607364183e-06,4.832786861269321e-14,3.527872245178987e-14,4.018593515883985e-16,5.67812271034261e-16,-1.5175835157626126e-16,1.4830496729324398e-16
acopiara,-4.651937272402745,-0.10812971860628479,1.3542774664563275,-3.00776591657258,1.5897073764753797,2.956041395975696,-2.7718957292866855,-0.7200960886757773,2.1575864755176206,-0.39546821962702405,-1.7172166336396077,-2.0865911257529746,-2.4509712366937424,-0.40561256973961046,1.4169024174932328,-0.7736285930421708,2.0779988010567876,0.2734889042480179,-1.400410056944772,-1.053773834945211,-2.054832440895897,-0.29175546418759274,0.49966230608172796,-0.804162979100729,-1.4741806834993005,-1.8777014927787317,2.915982480613807,3.161837607485035,-2.4812159736567976,3.5692158732942234,0.02704928273121469,-0.398294295325722,0.44217277555087264,-0.17464510872824204,-0.7772578701196265,0.1731830386755844,0.797849082827804,2.5494032996693154,0.17471852956306805,1.296083609916537,0.09600180156899855,0.12330927227073309,-0.2996747432302241,-0.0037847354735647317,0.16976059048346126,-0.2989830183551442,0.12033852512942272,-0.8732319113051039,2.0147901140032407,-0.8576304222023847,-1.2735741811366645,1.0761127760889027,0.07777903575682617,0.11263767192178273,-0.21949835085287958,-0.7110646930014258,-0.09375256932775898,-0.9161878712867361,0.6657176576179763,-0.21013865353207176,0.10743453186503875,-0.3879004223676889,-0.5789420243752047,0.3191733883620716,0.2390425707838322,0.410612123029304,0.9372127181105273,0.482742554399829,-0.08994497346816732,0.5562647306331256,0.0025313261563177413,-0.36233622618216277,0.05694972797901362,-0.7750290637475493,0.3554044833762224,-0.03590662504569932,-0.09155084090989148,0.38290325806987485,-0.1379892730276385,-0.17187908443146155,0.033758740785333176,-0.029155159493937943,0.09597524416062042,0.005123402657171172,-0.025151308243245664,-0.08629296916279382,-0.12744113934993564,0.09756469086965582,-0.08760012035206846,0.009933075817180463,-0.11174044110274901,-0.0006393616078946105,0.05189356539949835,0.018155580441859748,-0.00020871901916404254,-0.001063713259380686,-0.0011282546244244772,-0.0010786847864612812,-0.0010592471474839187,0.000192900219204409,-3.048560974131019e-05,-0.00028098488319268497,0.00023319797433207516,0.00010250867391442982,0.000977572645222645,0.0006699310411303846,-0.0004360063579454511,-0.0002296559762861735,-0.00015610697441177012,0.00013370588926135937,0.00010701343675611013,-2.1540194293881682e-14,-2.149975784571073e-14,-3.5959550322655947e-16,-2.0875416644131958e-16,-9.981444669033539e-17,-2.2148878026629757e-16
aiuaba,-6.080277811364225,2.420561340795051,0.4409279606418356,-2.167048373818808,-0.8247119436549796,-1.7830313797111192,-0.7343603525192144,-2.5790613247066494,-0.5069500020344293,2.009420290986061,1.3113678713549668,0.7959651954962181,-1.940679406302159,-1.7295028473623648,-0.014955970038413476,-1.091399930976241,0.2925256749463323,-2.6121416116419747,-1.5146809094667388,1.4104660593720002,0.36429090239854517,-0.4838924520893706,0.4867573736249739,-1.0384106847758379,0.8569344220672291,0.5193890173387841,-1.047851968804706,-0.520183111832097,0.7113018909474339,-0.7906599496065313,-0.4189758630263956,0.27461387036000945,0.29102858294851236,-1.6902635634177596,0.12954511697810697,-0.15155205541432631,0.7869978770158617,0.21195239559778217,1.1135075468424955,1.074328297496791,2.002951394722588,-1.0181816374147274,-0.029495131134836518,-1.1654019194986571,0.5191266228957738,-0.6410196704963803,-0.01217391275590153,-0.6533029158458807,-0.6147533151980263,0.29565495246227397,0.15685647857159782,0.8905461730353601,0.7613469678222752,-0.6962503832062575,-0.6386533132084807,-0.8719259719707916,0.3759408443466617,-0.43729709874315764,0.40165487730625854,1.9650049269905039,-0.5923690631852815,0.34342234681216866,-0.06220155272791903,-0.9014404288946012,0.30169293196258523,-0.45510213842280084,0.30289848609684245,-0.8385417115536109,0.2962186258198139,0.5030676226577981,0.3268723647951346,0.0992766451143503,-0.739987493595005,-0.18167359466684607,-0.4963404072175501,0.28870385505869106,-0.48726270611083605,0.20275324379061618,0.004631313355328353,0.011364048485858235,-0.028488810866996145,-0.04844137498686054,-0.39167947868696984,-0.1410912870574919,-0.2698776395338511,0.10849247165100251,-0.04901071626274591,0.012662473302046073,0.009533054266755969,-0.025939978695555782,-0.10535059442920199,0.025346289685547065,-0.03603965887587258,0.03631239058693812,0.019623700975997554,-0.0007756760759388672,0.0003986823664053336,-0.0014431728228960804,0.0010593127148464227,-0.0010083182803482457,-0.0003168520549935418,-0.0003966283559925543,0.0003519597750878261,-0.00017249810280118815,0.0004520193114908384,-0.0002063597644190464,0.0002508001412171127,-1.2433182226039072e-05,-2.0019145877616525e-05,-0.00016478626192034204,-3.7053959891769476e-05,-5.145429644778462e-14,-2.487949034676763e-14,-3.5955281416790876e-16,-1.13258222956198e-16,6.305335783262303e-16,-3.218978481002647e-17
alcantaras,4.764555303200113,7.922143089212281,5.384261029450766,8.375681899646212,2.7144104172614343,-2.3534993916396165,0.345317114324368,-1.5774849662898942,-0.8430882832874151,-1.6433785361680486,1.7711631158302186,-2.36042241232357,-1.138042186287475,0.24081000203098668,-2.6208819471581437,-0.14931962464165022,-2.207166682133792,4.447374071066138,-0.2825647243417924,-1.3283355870041549,-2.7851359236956674,1.5361741412768886,-3.373334863428824,1.8757509129546617,6.627052815934034,-1.566524559299602,-2.1926951159567083,-0.03607087160115217,1.7777869487992788,1.2621700885996157,-1.4580007851457755,2.6422897191235064,-0.35765203359440934,-1.3486104494191726,-0.1169175704561322,1.8152147092060797,2.6023650343340545,0.26439772891902036,-1.5681990675607624,-1.3455456450803618,1.2863537486651413,-1.2522786841321534,-0.31457937462834357,0.9538253473231874,0.10589472740456546,-0.7189990865639648,-1.3019139851950174,-0.45009568549418133,0.8280645247342849,0.7323962211778012,-0.8442899804567225,0.7928415740681176,0.2288896588109606,0.21747796785596638,-0.044901321093776314,0.20649210943710505,-1.1076799427297983,-0.12413489191480857,0.2511027755092136,0.4776299085020269,1.0120520302278526,-0.27319481202586954,-0.26258514511743086,-0.06055412100186428,0.03547456719964528,0.32860290991197033,-0.2448208358717953,0.16814398406542344,-0.37368638587225517,0.13437404712962966,0.15192144519352127,-0.4942831355981858,0.20338154439987552,-0.0007677830612960744,0.17365072421096883,0.0005771781407746599,-0.14738011740015902,-0.03587595075120751,0.0942668136786882,0.035127528510402635,0.21223239756002996,0.015623523352116569,-0.023760126273884425,0.17196965577321405,0.024730056037015044,-0.16103305050668687,0.07279902385112488,-0.06587207409002337,-0.0285623361614244,-0.03064055154074424,-0.01053080380131782,-0.0026939879445591333,-0.002896826852816606,-0.0005354938859500963,-0.00047808587489768024,-0.0012586885640366743,0.0003478013786905523,-0.00022332599464435477,0.00025868781680590656,9.23288300383834e-05,3.970436891667836e-05,-8.031007790830602e-05,-0.00015331472746167623,4.294213055654753e-05,1.748389854563673e-06,4.0726985730764445e-05,-6.966528070949672e-05,2.2392647003803024e-05,-2.8766145549843573e-05,-1.2848884293989926e-05,1.62614549243181e-05,1.7494073034982613e-14,2.248735075581919e-15,-7.310722794105921e-17,3.717301015015342e-18,-3.4377687044001654e-17,1.0721120766557463e-16
altaneira,3.1710648976997127,1.9402561309273596,-0.2899031179678124,-3.225638207368167,-0.31167105643359133,-2.095674246302804,3.159946001954429,-1.5509015948530918,0.903476555500084,1.652708904409973,-0.7273124518533389,2.0773700936511315,-0.5222293941043435,-1.561125734134221,-1.3940576878626794,-1.1256217781340445,-0.636930073621975,-0.4705654197108528,-0.15727690172584016,-0.009207047515753474,0.29076222759923726,-0.11424029352697952,0.017078352794434454,-1.4993367132537663,0.35067241769342283,0.5432324384930259,-0.8701782007418243,-0.44199687136512894,1.6929152945670332,0.674934636200811,-1.210297682253555,-0.5503194627307206,-1.205600717455938,0.4691141968976429,0.6968049391427678,0.21464612865601743,-0.1225647045491511,-0.3040240830810753,0.3463292050557669,0.016647852672131258,0.9457482544695264,0.332566774084063,0.2088351791809864,-0.8857447239137166,0.34133003701394526,-0.39140009187375113,0.46233383817679174,-0.38876869430242883,-0.061822349431610225,-0.07594836851930943,-0.31857565686026396,-0.08661351096917916,-0.932553705760112,-0.2915386861372303,0.06591259655085914,-0.6688408673400821,0.0924259186391286,-0.20139898757958274,0.734288072271091,0.513143253643131,0.05271462419793833,0.07044609492382208,0.0392995438408773,0.10478271559058429,-1.261321691310131,-0.018518399233466203,-0.03259379948492514,0.40309425279397565,-0.23392197109992144,0.384371047744263,0.6799612380855993,-0.42023556023221753,0.06478746443656282,-0.06866581716856116,0.21065877897329047,0.3876985673804669,-0.16537220311516546,-0.0724151151108084,-0.11518894759339866,-0.28490538963473966,-0.0629617369675945,0.4863711271214306,0.5850689243882907,-0.03597799424367268,0.3539566132635396,-0.27681397193760554,-0.19406435955459528,-0.0052752861716867305,0.3155923955250327,0.12384348054652497,0.13987697963694012,-0.11729736458804285,-0.1053982401989473,-0.0046257323249886285,0.0015364045094039794,-0.00031734200048542927,-0.0007824879977463989,-0.0007035637407347427,-0.0009140919913015222,-0.00040128000081930204,0.00012936302330104692,0.00043757114032291544,0.0001284151440501336,-0.0003534094367365287,0.00043481731259308097,-0.00012239125360799462,0.00015355946993399577,-6.536366306348563e-05,-5.5285403773583934e-05,-0.00012734704967616272,-1.6559588150635008e-05,8.075320651892588e-14,2.436844325011399e-15,5.884937205603023e-16,3.715424704952725e-16,-9.58449421751533e-17,-1.216040265676196e-16
alto santo,1.4341542513167929,3.054337063615025,0.5750356627450962,-0.3492155154874047,-0.5074528904083268,0.6013724452041058,-1.8455838865106995,1.3362124741022727,0.01472167864746099,0.7568054192159344,0.092621983625316,1.2670179258156988,0.011738735480485062,0.11067247330626193,1.4148726451887146,0.08191029624330012,2.198790671479765,1.3521795855014485,-0.1284256568611879,-0.6692578498563653,0.4909473973169774,-0.9985174644555543,-0.530838244741742,-1.2966552799210211,-0.7487674777702475,0.025564554276587447,1.3607802386560446,0.07503134031086503,-0.42216451374215075,-1.5699642363077155,-1.1352106124792056,-0.11978553575729663,0.0782604561044453,-1.5943997370457925,0.40359729741676803,0.9625330121252792,-0.2083916369808185,-0.7661831713111679,-0.9406123258089955,0.47552113571738164,0.16043566552329283,-0.3460699782286317,0.6850263022777542,0.9607554084372972,0.8306019586778197,0.5277465431557568,0.18860765955071743,-0.2676516436225796,-0.13079116457222126,0.715313828141735,-1.268028121528593,-0.31388315280151247,0.26216251985902994,1.0574933284613766,0.4842081487192458,-0.7958048630209937,-0.03959368483282174,0.5600948803436109,0.12409172263019812,0.6883836934312643,0.9129064793847463,0.4632412197086807,0.8354766028092747,0.10441468463792135,0.08072320662137311,0.726215854404393,0.023035728975366092,0.35819267399016885,0.9496466961926718,-0.2180014855145729,-0.21035070582314244,0.026953825574744752,-0.1799938375120529,-0.11374342007965796,0.7660617021595663,0.8151004185708127,0.023817450037265528,-0.06735851064277829,-0.04036801304373516,-0.15269178362018854,-0.4945103215180291,0.809975035887347,0.18975556361628812,0.09348941739456199,-0.42875055836077136,-0.05968386527972071,-0.07802303491360425,-0.15677749674525612,-0.03272509041826969,-0.25336650684432777,0.05342218765308657,0.06933484074205942,-0.0868553923042203,0.018954050909074916,0.014543067943304747,-0.0014771669271674628,-0.001035098234649692,-0.0004330160213827102,-0.0005318732774090774,0.0005760323304761136,-0.00013874729681539528,0.0006197881491944245,0.0001643622522468793,-1.1637460286189548e-05,-0.00015203970187078626,-0.0002105235509077865,0.00017345806206061243,0.00024685441426152365,-2.986542382235167e-05,9.642438599253487e-06,-5.862508128445181e-05,2.1620225703246217e-14,5.1946172831819516e-14,-2.287365573611981e-16,-8.297210548860103e-17,-5.672123208107325e-18,5.119499523602931e-16
amontada,-6.859397290532072,-2.3357080805352837,-1.1301599534444273,4.120068183100545,-1.2506416669178715,-0.7693356786521114,-0.2683964379622208,0.5295666768471412,0.7135378010205576,-3.128291850852994,-0.26596210566792466,0.23849569615741933,-0.15363268992884588,-0.11751333735250741,0.5494602462764129,-1.243692749044633,1.522861459616502,0.14949861283876986,-0.6521561894788896,-0.557546291866639,-1.5590164002468985,0.7625395536018476,1.7734285504836016,0.6612855812402169,-0.42704364653609944,-1.1972339087697126,-0.5273592970740638,0.13703776481296423,0.3083714946014127,-0.13118494677598444,-0.2895814493355596,-0.27283220808951275,-0.6846424985161303,0.6049848306524782,0.6290548265997441,0.45759925353752035,-0.5688702088291978,1.2630397096359767,0.5355241446871936,1.3129832182011028,0.4077773813474651,0.4062087152948248,0.07495267789119578,-0.2981482519277642,0.982230237356798,1.0077704836773174,0.4271714173456096,-0.4095657188929126,0.11210453867246427,0.898814568816961,-0.3902934374443317,0.18845948391797132,0.5161180832048934,-0.2710724032378074,0.47081477315406645,0.541864454731626,-1.0652779382329178,-0.1211339345133129,-0.27828392733608576,0.5792600854542993,0.7623782976843483,1.1082486630805801,-0.04455348157889662,0.43132942997206036,-0.018361320316743254,-0.5202435391292025,0.7281159186003594,0.5571020788160097,0.48311844019715655,-0.6987675717128972,0.1285218191624623,-0.14032173528001743,0.435246446765015,0.032786018361993186,-0.5752994096443184,0.19680118630692348,-0.061416955336422885,0.04377464404031047,-0.05372626513374552,0.2868101372339482,-0.3930181714040457,-0.4295318140555276,0.193473707766394,0.27541963976502754,-0.12649810493435223,-0.16205453734116326,-0.06308121184727039,-0.14051052969834693,0.13640525741752674,0.061430491555579024,0.05713613359591541,0.005707325279312524,0.022865446211290878,0.01983829476839541,-0.02408683582343878,0.00043392986364305437,0.0003613993546851178,-0.0005856695050085953,0.0006517432620200145,-0.0007689127150281938,-0.0002984678695506931,-0.00011684082004944099,-0.0004495264167264539,-0.0004289518519828045,-0.0002855078559827983,-0.00018542947048987766,0.00016379815034366953,-8.405800000952323e-05,6.980924443111178e-05,-1.9308255586660296e-06,5.3264037473006086e-05,4.4244282841946626e-14,-4.2696480733224855e-14,-1.111680131346113e-15,7.142470511848491e-16,1.841092930335332e-16,2.32863172925337e-16
antonina do norte,-2.117429540717426,0.4006086102622473,-3.7141211942683188,-6.02940524474307,-3.7687753843017293,2.382660645647476,-0.5678231571318241,-1.6837831265247034,-0.8548253588772682,-0.33353540671820614,3.56309662952291,-2.740731005259277,-0.2597668202605334,0.13258900712816798,5.558786677405631,-2.8657381967560167,0.2721303928062904,0.17989752648455182,0.31214224818036745,-2.034551815982755,-2.038068123183815,0.3658380011077965,0.967843534432089,1.8110891418689854,2.1108971739123077,-1.1187348563864576,0.06377346248471587,-0.15684073114187558,0.7986646097142316,0.23331914478059398,-0.9178973998132965,0.011083806528392779,-1.9194704350755956,0.0528475157823926,-0.9059078467235872,-0.0846593691034949,-0.8746813755828259,-0.30833874144050405,-0.46840453932890264,-1.3426629485428208,-0.4804887596288142,1.0763780802502432,0.6012000686715917,-0.12903404589335238,0.7624086345724937,-0.733218977530561,1.2339179393158133,-1.280995203892632,0.2920213706053569,-0.00446628336202768,0.06658013002525538,0.08576651806016213,0.689165422404271,0.86515088393028,-0.00781851257434635,0.06920790082180994,0.6198319070899863,-0.5829341830640339,-0.8712695154800476,0.453363520823043,0.3471607309064746,-0.9519217888733545,-0.39903013310272367,-0.13712776140182154,-0.42729809284655196,-0.1016596207156586,0.0738431749394478,-0.5484000384976283,0.7040923992639442,-0.24616307675384153,-0.009483552616180257,0.12339920859142407,-0.6521660088248967,0.40681608350087795,0.443450852071605,0.5027483395144781,0.15908953482387353,-0.1891129795171231,-0.3831065080497716,-0.29537250280921246,0.06797929526973497,-0.20792024675454857,0.26289106354539826,0.0656023926540454,0.09759643289971366,-0.009381127757892816,0.3497349411254227,-0.21283862411478524,-0.13412985047690593,0.03701033042041439,-0.015307101405397441,0.09256954677154929,-0.039975385976761924,-0.008211705005771907,-0.014890608581067862,0.00020050522742708627,-0.0005767131603960507,0.0010345913622235039,-0.00032313035310881495,-0.00021987519345645652,-4.316124274003323e-05,0.00020944042011822244,0.000532213318725198,-1.3304577163736805e-05,-0.0002935554232897057,2.2055113820645317e-05,-6.272122810222457e-05,-0.00018129535362664925,0.00011895632998288538,9.01313640593684e-06,2.5501498521175226e-05,-7.476013806372467e-14,-1.911169856689579e-15,-2.443708808684743e-16,-1.3510655635054323e-16,-1.8024288408550924e-16,-5.744887724002591e-16
