,name,PESO X IDADE / Peso Muito Baixo para a Idade,PESO X ALTURA / Magreza acentuada,CMI
0,abaiara,0.69,2.27,0.0
1,acarape,0.54,2.97,0.0
2,acarau,0.44,0.91,3.389830508474576
3,acopiara,0.87,2.75,0.0
4,aiuaba,0.47,1.43,0.0
5,alcantaras,0.32,0.65,0.0
6,altaneira,0.92,3.02,
7,alto santo,0.71,1.84,0.0
8,amontada,0.33,1.54,0.0
9,antonina do norte,0.0,0.29,0.0
10,apuiares,0.63,1.89,125.0
11,aquiraz,1.97,2.44,0.0
12,aracati,0.83,1.79,11.337868480725623
13,aracoiaba,0.85,1.94,0.0
14,ararenda,0.31,2.14,0.0
15,araripe,1.2,1.42,0.0
16,aratuba,0.71,2.3,0.0
17,arneiroz,2.4,7.2,0.0
18,assare,0.6,2.1,0.0
19,aurora,0.87,3.15,0.0
20,baixio,0.48,4.35,
21,banabuiu,0.68,1.48,0.0
22,barbalha,0.93,2.27,16.068052930056712
23,barreira,0.56,2.55,
24,barro,0.89,2.29,400.0
25,barroquinha,0.0,0.73,0.0
26,baturite,0.92,3.14,2.525252525252525
27,beberibe,0.43,1.48,0.0
28,bela cruz,0.17,0.5,29.41176470588235
29,boa viagem,0.77,1.9,0.0
30,brejo santo,0.48,1.01,4.62962962962963
31,camocim,0.85,2.43,0.0
32,campos sales,0.49,1.06,12.195121951219512
33,caninde,0.84,2.01,7.575757575757576
34,capistrano,0.91,2.05,0.0
35,caridade,1.13,4.23,0.0
36,carire,0.99,1.49,0.0
37,caririacu,0.5,1.13,1000.0
38,carius,0.33,2.11,0.0
39,carnaubal,0.27,1.52,0.0
40,cascavel,0.64,1.31,3.236245954692557
41,catarina,0.31,0.93,0.0
42,catunda,0.95,2.66,0.0
43,caucaia,0.29,1.51,3.4602076124567476
44,cedro,0.59,1.67,9.615384615384615
45,chaval,0.67,1.74,0.0
46,choro,0.77,0.78,
47,chorozinho,0.42,1.93,0.0
48,coreau,0.96,1.28,0.0
49,crateus,1.05,2.75,10.362694300518134
50,crato,0.94,1.79,6.488824801730353
51,croata,0.53,1.68,0.0
52,cruz,0.57,0.8,0.0
53,deputado irapuan pinheiro,0.27,1.65,0.0
54,erere,0.58,1.75,
55,eusebio,0.85,2.95,0.0
56,farias brito,0.92,1.67,32.25806451612903
57,forquilha,0.37,1.11,0.0
58,fortaleza,0.61,1.29,22.655850325221078
59,fortim,0.45,2.41,0.0
60,frecheirinha,0.76,2.54,0.0
61,general sampaio,0.75,2.51,0.0
62,graca,1.56,2.81,
63,granja,1.3,3.43,0.0
64,granjeiro,0.4,4.84,
65,groairas,0.61,0.61,0.0
66,guaiuba,0.39,1.48,0.0
67,guaraciaba do norte,0.73,1.24,0.0
68,guaramiranga,0.63,1.25,
69,hidrolandia,0.16,1.25,0.0
70,horizonte,0.35,1.19,0.0
71,ibaretama,1.65,2.63,
72,ibiapina,0.4,1.26,23.25581395348837
73,ibicuitinga,0.15,1.51,
74,icapui,1.51,3.31,0.0
75,ico,1.84,1.33,3.4482758620689653
76,iguatu,0.67,2.12,5.256241787122208
77,independencia,0.53,1.21,0.0
78,ipaporanga,0.68,1.37,0.0
79,ipaumirim,1.66,2.17,0.0
80,ipu,1.31,3.16,0.0
81,ipueiras,0.54,2.43,0.0
82,iracema,0.75,2.87,0.0
83,iraucuba,0.74,1.37,0.0
84,itaicaba,1.0,2.0,0.0
85,itaitinga,1.36,2.73,0.0
86,itapaje,0.75,2.57,0.0
87,itapipoca,0.61,1.24,6.960556844547564
88,itapiuna,1.34,1.19,
89,itarema,1.99,3.47,0.0
90,itatira,0.13,0.51,0.0
91,jaguaretama,0.54,1.94,0.0
92,jaguaribara,0.76,0.97,0.0
93,jaguaribe,0.16,0.33,0.0
94,jaguaruana,0.62,1.25,
95,jardim,0.88,2.64,142.85714285714286
96,jati,0.75,1.89,
97,jijoca de jericoacoara,0.4,1.27,0.0
98,juazeiro do norte,0.7,1.76,10.973936899862826
99,jucas,0.96,1.24,0.0
100,lavras da mangabeira,1.13,2.62,0.0
101,limoeiro do norte,0.44,1.6,0.0
102,madalena,0.53,2.95,0.0
103,maracanau,1.34,3.58,2.399232245681382
104,maranguape,0.69,2.92,3.745318352059925
105,marco,0.86,1.11,0.0
106,martinopole,0.22,0.67,0.0
107,massape,0.55,1.76,0.0
108,mauriti,0.3,2.58,0.0
109,meruoca,0.87,1.45,0.0
110,milagres,3.56,1.69,25.974025974025974
111,milha,0.52,2.22,400.0
112,miraima,0.81,2.19,
113,missao velha,0.99,1.89,0.0
114,mombaca,0.39,1.41,23.4375
115,monsenhor tabosa,1.13,1.51,0.0
116,morada nova,0.7,1.31,4.0
117,moraujo,0.77,1.55,0.0
118,morrinhos,0.38,2.1,0.0
119,mucambo,0.42,0.74,
120,mulungu,0.35,2.43,
121,nova olinda,0.85,1.52,0.0
122,nova russas,0.55,1.32,0.0
123,novo oriente,0.63,0.91,83.33333333333333
124,ocara,0.33,1.3,0.0
125,oros,0.6,1.71,0.0
126,pacajus,1.29,3.1,0.0
127,pacatuba,0.74,4.47,1000.0
128,pacoti,0.31,1.69,0.0
129,pacuja,0.0,1.17,
130,palhano,0.38,1.54,0.0
131,palmacia,0.89,2.48,0.0
132,paracuru,0.34,1.64,0.0
133,paraipaba,0.74,3.98,0.0
134,parambu,0.79,2.52,0.0
135,paramoti,0.69,1.72,0.0
136,pedra branca,0.68,1.52,20.833333333333332
137,penaforte,0.49,1.98,0.0
138,pentecoste,0.81,1.62,10.989010989010989
139,pereiro,0.37,2.39,0.0
140,pindoretama,0.97,18.0,222.22222222222223
141,piquet carneiro,0.14,0.14,0.0
142,pires ferreira,0.18,0.74,0.0
143,poranga,0.0,1.04,0.0
144,porteiras,0.54,2.07,0.0
145,potengi,0.49,1.71,0.0
