Município,PESO X IDADE / Peso Muito Baixo para a Idade,PESO X ALTURA / Magreza acentuada,ALTURA X IDADE / Altura Muito Baixa para a Idade,IMC X IDADE / Magreza acentuada
ABAIARA,0.69%,2.27%,4.86%,4.17%
ACARAPE,0.54%,2.97%,7.84%,5.26%
ACARAU,0.44%,0.91%,4.4%,1.41%
ACOPIARA,0.87%,2.75%,5.66%,4.05%
AIUABA,0.47%,1.43%,5.85%,3.95%
ALCANTARAS,0.32%,0.65%,3.07%,0.81%
ALTANEIRA,0.92%,3.02%,5.54%,3.46%
ALTO SANTO,0.71%,1.84%,3.67%,3.25%
AMONTADA,0.33%,1.54%,4.5%,2.01%
ANTONINA DO NORTE,-,0.29%,4.57%,1.71%
APUIARES,0.63%,1.89%,5.66%,2.04%
AQUIRAZ,1.97%,2.44%,10.48%,3.7%
ARACATI,0.83%,1.79%,7.39%,2.74%
ARACOIABA,0.85%,1.94%,5.02%,2.62%
ARARENDA,0.31%,2.14%,2.44%,1.98%
ARARIPE,1.2%,1.42%,5.99%,2.25%
ARATUBA,0.71%,2.3%,4.77%,2.3%
ARNEIROZ,2.4%,7.2%,2.4%,7.2%
ASSARE,0.6%,2.1%,5.41%,3.23%
AURORA,0.87%,3.15%,4.7%,3.83%
BAIXIO,0.48%,4.35%,3.86%,3.86%
BANABUIU,0.68%,1.48%,4.29%,2.93%
BARBALHA,0.93%,2.27%,5.65%,3.59%
BARREIRA,0.56%,2.55%,10.58%,4.3%
BARRO,0.89%,2.29%,3.68%,3.55%
BARROQUINHA,-,0.73%,3.65%,0.94%
BATURITE,0.92%,3.14%,5.35%,4.49%
BEBERIBE,0.43%,1.48%,4%,2.6%
BELA CRUZ,0.17%,0.5%,3.1%,1%
BOA VIAGEM,0.77%,1.9%,4.36%,2.34%
BREJO SANTO,0.48%,1.01%,3.24%,1.88%
CAMOCIM,0.85%,2.43%,4.23%,4.67%
CAMPOS SALES,0.49%,1.06%,2.36%,1.46%
CANINDE,0.84%,2.01%,5.74%,2.87%
CAPISTRANO,0.91%,2.05%,6.71%,3.19%
CARIDADE,1.13%,4.23%,8.44%,6.39%
CARIRE,0.99%,1.49%,4.7%,1.98%
CARIRIACU,0.5%,1.13%,2.88%,2%
CARIUS,0.33%,2.11%,4.44%,2.77%
CARNAUBAL,0.27%,1.52%,3.48%,2.05%
CASCAVEL,0.64%,1.31%,3.78%,1.89%
CATARINA,0.31%,0.93%,12.77%,1.38%
CATUNDA,0.95%,2.66%,7.4%,4.74%
CAUCAIA,0.29%,1.51%,3%,2.16%
CEDRO,0.59%,1.67%,2.55%,2.85%
CHAVAL,0.67%,1.74%,4.53%,2.8%
CHORO,0.77%,0.78%,5.73%,1.7%
CHOROZINHO,0.42%,1.93%,4.18%,3.09%
COREAU,0.96%,1.28%,4.63%,2.07%
CRATEUS,1.05%,2.75%,4.88%,3.59%
CRATO,0.94%,1.79%,5.18%,2.72%
CROATA,0.53%,1.68%,1.68%,2.21%
CRUZ,0.57%,0.8%,1.68%,1.3%
DEPUTADO IRAPUAN PINHEIRO,0.27%,1.65%,4.12%,3.3%
ERERE,0.58%,1.75%,2.33%,1.45%
EUSEBIO,0.85%,2.95%,6.62%,3.85%
FARIAS BRITO,0.92%,1.67%,2.83%,2.08%
FORQUILHA,0.37%,1.11%,4.58%,2.29%
FORTALEZA,0.61%,1.29%,3.43%,1.98%
FORTIM,0.45%,2.41%,4.76%,3.29%
FRECHEIRINHA,0.76%,2.54%,5.97%,2.8%
GENERAL SAMPAIO,0.75%,2.51%,8.23%,3.24%
GRACA,1.56%,2.81%,6.55%,5.3%
GRANJA,1.3%,3.43%,6.55%,4.32%
GRANJEIRO,0.4%,4.84%,8.87%,6.45%
GROAIRAS,0.61%,0.61%,3.04%,1.42%
GUAIUBA,0.39%,1.48%,3.41%,2.72%
GUARACIABA DO NORTE,0.73%,1.24%,4.66%,2.14%
GUARAMIRANGA,0.63%,1.25%,4.7%,3.13%
HIDROLANDIA,0.16%,1.25%,3.74%,2.49%
HORIZONTE,0.35%,1.19%,4.39%,1.75%
IBARETAMA,1.65%,2.63%,9.87%,4.11%
IBIAPINA,0.4%,1.26%,3.19%,1.79%
IBICUITINGA,0.15%,1.51%,14.35%,1.96%
ICAPUI,1.51%,3.31%,7.15%,3.99%
ICO,1.84%,1.33%,37.68%,2.01%
IGUATU,0.67%,2.12%,4.03%,3.08%
INDEPENDENCIA,0.53%,1.21%,4.07%,2.04%
