ano (uid);ano (nome);local (uid);local (nome);indicador (uid);indicador (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;1;País;76;Brasil;3.035;2.893;3.167;3.212;3.269;3.025;2.962;2.818;2.631;2.738;2.739;2.804;35.293
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;2;Região;1;Norte;372;360;450;422;442;372;375;397;345;343;399;387;4.664
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;11;Rondônia;31;22;35;28;26;24;28;20;22;18;21;29;304
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;12;Acre;15;16;35;20;29;18;20;24;22;17;22;30;268
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;13;Amazonas;101;87;116;108;112;96;85;107;98;89;131;87;1.217
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;14;Roraima;24;22;26;15;27;22;27;24;24;16;13;22;262
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;15;Pará;156;166;197;189;202;166;161;170;130;165;169;182;2.053
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;16;Amapá;23;26;23;30;27;25;34;31;22;23;25;17;306
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;17;Tocantins;22;21;18;32;19;21;20;21;27;15;18;20;254
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;2;Região;2;Nordeste;953;941;944;1.050;961;914;955;918;806;862;813;901;11.018
